t_low,t_high,approve_rate,review_rate,reject_rate,approve_observed_default_rate,review_observed_default_rate,reject_observed_default_rate,nonrejected_observed_default_rate,approve_avg_pd,review_avg_pd,reject_avg_pd,risk_proxy_nonrejected,risk_proxy_approved_only
0.02,0.15,0.0,0.6969778268760357,0.30302217312396434,,0.056810977266551946,0.5180459351075465,0.056810977266551946,,0.05584937235751234,0.5230727691514485,33104949.831592906,0.0
0.02,0.18,0.0,0.7333070306951788,0.2666929693048213,,0.06473550553092584,0.5590863364696136,0.06473550553092584,,0.061222835274973575,0.5719434083310972,38408576.265189886,0.0
0.02,0.21,0.0,0.7599936873668429,0.2400063126331571,,0.07060240463484022,0.5954760652288269,0.07060240463484022,,0.06590478247730396,0.6139055307413603,43091541.941998646,0.0
0.02,0.24,0.0,0.7799731713090823,0.2200268286909177,,0.07567326953038059,0.6251613828718978,0.07567326953038059,,0.06997456062035462,0.649239650820137,47188023.798885435,0.0
0.02,0.27,0.0,0.7975696362345143,0.20243036376548568,,0.08049388578891131,0.6539331098464177,0.08049388578891131,,0.07404779833737322,0.6835444210571426,51643287.099809326,0.0
0.02,0.3,0.0,0.8137299771167048,0.1862700228832952,,0.08517900779643924,0.6832161314919936,0.08517900779643924,,0.07822095025701545,0.7181922633332125,56346319.210990235,0.0
0.02,0.33,0.0,0.8270969778268761,0.17290302217312398,,0.08899234864240875,0.7112084702446149,0.08899234864240875,,0.08203919447654276,0.7494030465455466,60543171.54211727,0.0
0.02,0.36,0.0,0.8377495462794918,0.16225045372050817,,0.09247607565368096,0.7340725610349188,0.09247607565368096,,0.08537532549065038,0.7759933997596004,64318796.44304125,0.0
0.02,0.39,0.0,0.8474552197585418,0.1525447802414582,,0.09555112758151921,0.7578108835092076,0.09555112758151921,,0.08868548429159363,0.8015445996585817,68216867.99789001,0.0
0.02,0.42,0.0,0.8558983666061706,0.1441016333938294,,0.09816720138658407,0.7810754572335998,0.09816720138658407,,0.0918052636087662,0.8247820890062765,71968096.14267978,0.0
0.02,0.45,0.0,0.8627002288329519,0.13729977116704806,,0.10052135735845605,0.8001149425287356,0.10052135735845605,,0.09451412367415721,0.8440732586926819,75242875.73316982,0.0
0.02,0.48,0.0,0.8693600568136984,0.1306399431863016,,0.10272841142193258,0.8210920512201014,0.10272841142193258,,0.09735240301147059,0.863396967453643,78779657.57180771,0.0
0.02,0.51,0.0,0.8753728398958416,0.12462716010415845,,0.10496141919665393,0.8400658477903001,0.10496141919665393,,0.10008166404972976,0.8811855362496804,82150934.90759474,0.0
0.02,0.54,0.0,0.8809910834056656,0.11900891659433441,,0.10701490398394956,0.859567696591964,0.10701490398394956,,0.10279112181923943,0.898002962052369,85343514.12337168,0.0
0.02,0.57,0.0,0.8863568215892054,0.1136431784107946,,0.10903781781924364,0.8793223163449521,0.10903781781924364,,0.10552987200454153,0.9141886113055224,88523711.89533772,0.0
0.02,0.6,0.0,0.8907914463820721,0.10920855361792788,,0.11081583842678713,0.8960982658959538,0.11081583842678713,,0.10791439367579497,0.9275757182433366,91462793.7458159,0.0
0.02,0.63,0.0,0.8951945080091533,0.10480549199084668,,0.11273887596079261,0.9126637554585153,0.11273887596079261,,0.11040599582093757,0.940729139335533,94456492.80155282,0.0
0.04,0.15,0.3608143296772666,0.33616349719876903,0.30302217312396434,0.0012684249661024363,0.1164264588516971,0.5180459351075465,0.056810977266551946,0.030755040980388886,0.08278386830958845,0.5230727691514485,33104949.831592906,9741640.513023209
0.04,0.18,0.3608143296772666,0.3724927010179121,0.2666929693048213,0.0012684249661024363,0.1262127695631911,0.5590863364696136,0.06473550553092584,0.030755040980388886,0.09073540490413468,0.5719434083310972,38408576.265189886,9741640.513023209
0.04,0.21,0.3608143296772666,0.39917935768957624,0.2400063126331571,0.0012684249661024363,0.13327271289633905,0.5954760652288269,0.07060240463484022,0.030755040980388886,0.09767629112931508,0.6139055307413603,43091541.941998646,9741640.513023209
0.04,0.24,0.3608143296772666,0.41915884163181566,0.2200268286909177,0.0012684249661024363,0.13972138554216867,0.6251613828718978,0.07567326953038059,0.030755040980388886,0.10373494757549533,0.649239650820137,47188023.798885435,9741640.513023209
0.04,0.27,0.3608143296772666,0.4367553065572477,0.20243036376548568,0.0012684249661024363,0.14594399277326106,0.6539331098464177,0.08049388578891131,0.030755040980388886,0.10981301284334369,0.6835444210571426,51643287.099809326,9741640.513023209
0.04,0.3,0.3608143296772666,0.4529156474394382,0.1862700228832952,0.0012684249661024363,0.152026203003589,0.6832161314919936,0.08517900779643924,0.030755040980388886,0.11603457037588764,0.7181922633332125,56346319.210990235,9741640.513023209
0.04,0.33,0.3608143296772666,0.4662826481496094,0.17290302217312398,0.0012684249661024363,0.15687402694104108,0.7112084702446149,0.08899234864240875,0.030755040980388886,0.1217234021995024,0.7494030465455466,60543171.54211727,9741640.513023209
0.04,0.36,0.3608143296772666,0.4769352166022252,0.16225045372050817,0.0012684249661024363,0.16147711855994176,0.7340725610349188,0.09247607565368096,0.030755040980388886,0.12669704101158313,0.7759933997596004,64318796.44304125,9741640.513023209
0.04,0.39,0.3608143296772666,0.48664089008127515,0.1525447802414582,0.0012684249661024363,0.1654559605655727,0.7578108835092076,0.09555112758151921,0.030755040980388886,0.13163734981968006,0.8015445996585817,68216867.99789001,9741640.513023209
0.04,0.42,0.3608143296772666,0.49508403692890396,0.1441016333938294,0.0012684249661024363,0.1687864588314048,0.7810754572335998,0.09816720138658407,0.030755040980388886,0.13629830622623426,0.8247820890062765,71968096.14267978,9741640.513023209
0.04,0.45,0.3608143296772666,0.5018858991556853,0.13729977116704806,0.0012684249661024363,0.1718759826426011,0.8001149425287356,0.10052135735845605,0.030755040980388886,0.14035161526674966,0.8440732586926819,75242875.73316982,9741640.513023209
0.04,0.48,0.3608143296772666,0.5085457271364318,0.1306399431863016,0.0012684249661024363,0.174714498510427,0.8210920512201014,0.10272841142193258,0.030755040980388886,0.14460338017497051,0.863396967453643,78779657.57180771,9741640.513023209
0.04,0.51,0.3608143296772666,0.5145585102185749,0.12462716010415845,0.0012684249661024363,0.1776721361754332,0.8400658477903001,0.10496141919665393,0.030755040980388886,0.14869428736622542,0.8811855362496804,82150934.90759474,9741640.513023209
0.04,0.54,0.3608143296772666,0.520176753728399,0.11900891659433441,0.0012684249661024363,0.1803646734018992,0.859567696591964,0.10701490398394956,0.030755040980388886,0.15275808023126092,0.898002962052369,85343514.12337168,9741640.513023209
0.04,0.57,0.3608143296772666,0.5255424919119388,0.1136431784107946,0.0012684249661024363,0.18302753671060928,0.8793223163449521,0.10903781781924364,0.030755040980388886,0.1568669778483661,0.9141886113055224,88523711.89533772,9741640.513023209
0.04,0.6,0.3608143296772666,0.5299771167048055,0.10920855361792788,0.0012684249661024363,0.18539693883628133,0.8960982658959538,0.11081583842678713,0.030755040980388886,0.1604453412273127,0.9275757182433366,91462793.7458159,9741640.513023209
0.04,0.63,0.3608143296772666,0.5343801783318867,0.10480549199084668,0.0012684249661024363,0.18800389829006822,0.9126637554585153,0.11273887596079261,0.030755040980388886,0.16418644473028648,0.940729139335533,94456492.80155282,9741640.513023209
