decile,n,avg_pred_pd,observed_default_rate,avg_loan_amnt,total_exposure,lift_vs_base_rate
1,9505,0.00020795035,0.0,11881.82798527091,112936775.0,0.0
2,9505,0.00031305748,0.0,13135.775907417148,124855550.0,0.0
3,9505,0.0004368625,0.0,14937.1330878485,141977450.0,0.0
4,9504,0.024920875,0.023463804713804715,15138.270728114478,143874125.0,0.11936350409107849
5,9505,0.084711194,0.08248290373487638,13102.903734876381,124543100.0,0.4196015325515162
6,9505,0.12812383,0.1262493424513414,12674.834297738033,120474300.0,0.6422472437013004
7,9504,0.18033136,0.17697811447811448,13307.791456228957,126477250.0,0.9003112730098386
8,9505,0.25055948,0.24618621778011573,14550.620725933719,138303650.0,1.2523821252175358
9,9505,0.37138548,0.37801157285639136,16775.486586007366,159451000.0,1.922995288848977
10,9505,0.9289886,0.9323513940031563,15414.739610731194,146517100.0,4.742995894734103
