threshold,TP,FP,TN,FN,precision,recall,f1,specificity,approval_rate_pred0,flag_rate_pred1
0.05,18456,38283,38081,228,0.32527890868714643,0.9877970456005138,0.48939978521140765,0.4986773872505369,0.4030489857756081,0.5969510142243919
0.1,16494,21616,54748,2190,0.4327997900813435,0.8827874116891458,0.5808360038032186,0.7169346812634225,0.5990446932076424,0.4009553067923575
0.15,14928,14235,62129,3756,0.5118814936734903,0.7989723827874117,0.6239889648253809,0.8135901733801267,0.6931760794545914,0.30682392054540863
0.2,13781,9938,66426,4903,0.5810110038365867,0.7375829586812246,0.6500011791618517,0.8698601435231261,0.7504524029963808,0.24954759700361923
0.25,12838,7316,69048,5846,0.6369951374416989,0.6871119674587882,0.661105103249395,0.9041956943062176,0.7879597676963218,0.21204023230367813
0.3,12065,5496,70868,6619,0.6870337680086556,0.6457396703061443,0.6657469995861498,0.9280289141480279,0.8152407204780743,0.18475927952192575
0.35,11368,4228,72136,7316,0.7289048473967684,0.6084350246199958,0.6632438739789965,0.9446335969828715,0.8359144853126841,0.1640855146873159
0.4,10801,3189,73175,7883,0.7720514653323802,0.5780882038107472,0.6611372957091265,0.958239484573883,0.8528112111775104,0.1471887888224897
0.45,10327,2446,73918,8357,0.8085023095592265,0.5527189038749732,0.6565788218838414,0.967969200146666,0.8656152680750778,0.13438473192492215
0.5,9907,1828,74536,8777,0.8442266723476779,0.5302397773496039,0.6513692100332029,0.9760620187522917,0.8765360659877115,0.12346393401228853
0.55,9494,1334,75030,9190,0.8768008865903214,0.5081353029329908,0.6433992952019517,0.9825310355664973,0.8860786129113711,0.11392138708862891
0.6,9155,931,75433,9529,0.9076938330358914,0.4899914365232284,0.6364268335071255,0.9878083913886124,0.8938851948489185,0.10611480515108156
0.65,8883,647,75717,9801,0.932109129066107,0.4754335260115607,0.6296873892393847,0.9915274212979939,0.899734870802121,0.10026512919787897
0.7,8627,417,75947,10057,0.953892083149049,0.4617319631770499,0.6222590882862089,0.9945393117175633,0.9048480767612154,0.09515192323878462
0.75,8409,235,76129,10275,0.9728135122628413,0.4500642260757868,0.6154127634660421,0.9969226337017443,0.9090564767275482,0.09094352327245181
0.8,8236,115,76249,10448,0.98622919410849,0.44080496681652753,0.6092842611429629,0.9984940547902152,0.9121391297028869,0.08786087029711304
0.85,8113,44,76320,10571,0.9946058599975481,0.4342217940483836,0.6045229313363883,0.9994238122675606,0.9141802036865584,0.08581979631344162
0.9,8050,6,76358,10634,0.9992552135054618,0.43084992506957825,0.6020942408376964,0.9999214289455765,0.9152428246780574,0.0847571753219426
0.95,8035,0,76364,10649,1.0,0.43004709912224365,0.6014446648452412,1.0,0.9154637656762898,0.08453623432371013
